t=2025-11-15T18:28:49+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-15T18:28:49+0100 lvl=info msg="using configuration at default config path" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-15T18:28:49+0100 lvl=info msg="open config file" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-15T18:28:49+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-15T18:28:49+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-15T18:28:49+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=97b48265744d l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=189abf6df12d l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=64cf82b73563 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=db937c5f4050 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=d015caa0e980 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=91005028c6b0 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=2f50448d4ec1 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=5e46ada6d4df l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=758dc59d8a7d l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=7798fda521d4 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:29+0100 lvl=info msg="join connections" obj=join id=deda1238c4f4 l=[::1]:3000 r=195.154.25.96:49941
t=2025-11-15T18:29:30+0100 lvl=info msg="join connections" obj=join id=eeff9e4ed8d7 l=[::1]:3000 r=195.154.25.96:49943
