t=2025-11-15T16:53:22+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-15T16:53:22+0100 lvl=info msg="using configuration at default config path" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-15T16:53:22+0100 lvl=info msg="open config file" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-15T16:58:21+0100 lvl=info msg="join connections" obj=join id=a4c426a7d5dd l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:58:21+0100 lvl=info msg="join connections" obj=join id=af890c9c7c59 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:58:21+0100 lvl=info msg="join connections" obj=join id=3cdf87615c97 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T16:58:27+0100 lvl=info msg="join connections" obj=join id=05401c14cef0 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T17:01:23+0100 lvl=info msg="join connections" obj=join id=3baa33a2b626 l=[::1]:3000 r=77.136.66.17:37915
t=2025-11-15T17:06:25+0100 lvl=info msg="join connections" obj=join id=27d60c0dd86e l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=f295ed043c9b l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=95e1418f2077 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=e5e05089202d l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=063f45dbaa8b l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=35e35f5180ea l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=4acee35b4897 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=44611e0c8063 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=63b190cdac42 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=d8699ebbb020 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=5b2305649bf7 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=93d8eab91848 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=7f4b46589961 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=4d8f936b65ad l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=603025d29c3e l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=022e1c600bfa l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:28+0100 lvl=info msg="join connections" obj=join id=34f092a5ed51 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:29+0100 lvl=info msg="join connections" obj=join id=89ee738c2944 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:29+0100 lvl=info msg="join connections" obj=join id=8b2634b9d82c l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:29+0100 lvl=info msg="join connections" obj=join id=324e81efd17e l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:06:29+0100 lvl=info msg="join connections" obj=join id=36269a51d1a5 l=[::1]:3000 r=77.136.66.17:40788
t=2025-11-15T17:06:46+0100 lvl=info msg="join connections" obj=join id=d247293b9398 l=[::1]:3000 r=77.136.66.17:35923
t=2025-11-15T17:08:01+0100 lvl=info msg="join connections" obj=join id=7f07161263cf l=[::1]:3000 r=54.161.161.178:44280
t=2025-11-15T17:08:03+0100 lvl=info msg="join connections" obj=join id=695bab45eafa l=[::1]:3000 r=98.83.156.248:25926
t=2025-11-15T17:08:07+0100 lvl=info msg="join connections" obj=join id=f30542432423 l=[::1]:3000 r=3.95.186.9:48992
t=2025-11-15T17:08:20+0100 lvl=info msg="join connections" obj=join id=e34ca5814017 l=[::1]:3000 r=54.167.236.60:36412
t=2025-11-15T17:16:03+0100 lvl=info msg="join connections" obj=join id=9384f152dce3 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=4e17b5652efb l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=092ba450e14a l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=c7d6a734bb4a l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=e86f9ea6e71c l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=f9b1134c5f15 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=d9baca745df5 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=b7c4eb197529 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=36a54f02610d l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=d4527831d220 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=ae50c85cbd16 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=dbbb86ba2c2a l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=dea7db1d5b81 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=d1648c185357 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=2487b9fbab91 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:05+0100 lvl=info msg="join connections" obj=join id=52dc821c8ab8 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
